// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
七星里|0x100000|1000
七星裏|0x100000|1000
七甲裡|0x100000|1000
七甲里|0x100000|1000
七甲裏|0x100000|1000
七結里|0x100000|1000
七结里|0x100000|1000
七結裡|0x100000|1000
七結裏|0x100000|1000
七股里|0x100000|1000
七股裡|0x100000|1000
七股裏|0x100000|1000
七賢裡|0x100000|1000
七贤里|0x100000|1000
七賢里|0x100000|1000
七賢裏|0x100000|1000
三仙裡|0x100000|1000
三仙里|0x100000|1000
三仙裏|0x100000|1000
三信里|0x100000|1000
三信裡|0x100000|1000
三信裏|0x100000|1000
三元里|0x100000|1000
三元裡|0x100000|1000
三元裏|0x100000|1000
三光裡|0x100000|1000
三光里|0x100000|1000
三光裏|0x100000|1000
三共裡|0x100000|1000
三共里|0x100000|1000
三共裏|0x100000|1000
三協裡|0x100000|1000
三协里|0x100000|1000
三協裏|0x100000|1000
三協里|0x100000|1000
三厝裡|0x100000|1000
三厝里|0x100000|1000
三厝裏|0x100000|1000
三合里|0x100000|1000
三合裏|0x100000|1000
三合裡|0x100000|1000
三和裡|0x100000|1000
三和里|0x100000|1000
三和裏|0x100000|1000
三坑裏|0x100000|1000
三坑里|0x100000|1000
三坑裡|0x100000|1000
三埔里|0x100000|1000
三埔裡|0x100000|1000
三埔裏|0x100000|1000
三多裡|0x100000|1000
三多里|0x100000|1000
三多裏|0x100000|1000
三奶裡|0x100000|1000
三奶里|0x100000|1000
三奶裏|0x100000|1000
三安裡|0x100000|1000
三安里|0x100000|1000
三安裏|0x100000|1000
三山裏|0x100000|1000
三山里|0x100000|1000
三山裡|0x100000|1000
三峽里|0x100000|1000
三峡里|0x100000|1000
三峽裏|0x100000|1000
三峽裡|0x100000|1000
三崁里|0x100000|1000
三崁裡|0x100000|1000
三崁裏|0x100000|1000
三川里|0x100000|1000
三川裡|0x100000|1000
三川裏|0x100000|1000
三平裏|0x100000|1000
三平里|0x100000|1000
三平裡|0x100000|1000
三張里|0x100000|1000
三张里|0x100000|1000
三張裡|0x100000|1000
三張裏|0x100000|1000
三德里|0x100000|1000
三德裏|0x100000|1000
三德裡|0x100000|1000
三愛里|0x100000|1000
三爱里|0x100000|1000
三愛裏|0x100000|1000
三愛裡|0x100000|1000
三慶里|0x100000|1000
三庆里|0x100000|1000
三慶裏|0x100000|1000
三慶裡|0x100000|1000
三明里|0x100000|1000
三明裏|0x100000|1000
三明裡|0x100000|1000
三星裡|0x100000|1000
三星里|0x100000|1000
三星裏|0x100000|1000
三村里|0x100000|1000
三村裡|0x100000|1000
三村裏|0x100000|1000
三林裏|0x100000|1000
三林里|0x100000|1000
三林裡|0x100000|1000
三條裏|0x100000|1000
三条里|0x100000|1000
三條里|0x100000|1000
三條裡|0x100000|1000
三榮裏|0x100000|1000
三荣里|0x100000|1000
三榮里|0x100000|1000
三榮裡|0x100000|1000
三橋里|0x100000|1000
三桥里|0x100000|1000
三橋裡|0x100000|1000
三橋裏|0x100000|1000
三民里|0x100000|1000
三民裏|0x100000|1000
三民裡|0x100000|1000
三水里|0x100000|1000
三水裏|0x100000|1000
三水裡|0x100000|1000
三港里|0x100000|1000
三港裡|0x100000|1000
三港裏|0x100000|1000
三湖裡|0x100000|1000
三湖里|0x100000|1000
三湖裏|0x100000|1000
三爺裏|0x100000|1000
三爷里|0x100000|1000
三爺裡|0x100000|1000
三爺里|0x100000|1000
三犁裡|0x100000|1000
三犁里|0x100000|1000
三犁裏|0x100000|1000
三玉裏|0x100000|1000
三玉里|0x100000|1000
三玉裡|0x100000|1000
三界里|0x100000|1000
三界裏|0x100000|1000
三界裡|0x100000|1000
三石里|0x100000|1000
三石裏|0x100000|1000
三石裡|0x100000|1000
三福里|0x100000|1000
三福裏|0x100000|1000
三福裡|0x100000|1000
三義里|0x100000|1000
三义里|0x100000|1000
三義裡|0x100000|1000
三義裏|0x100000|1000
三义裏|0x100000|1000
三义裡|0x100000|1000
三股里|0x100000|1000
三股裏|0x100000|1000
三股裡|0x100000|1000
三興裡|0x100000|1000
三兴里|0x100000|1000
三興裏|0x100000|1000
三興里|0x100000|1000
三舍里|0x100000|1000
三舍裡|0x100000|1000
三舍裏|0x100000|1000
三苓里|0x100000|1000
三苓裡|0x100000|1000
三苓裏|0x100000|1000
三角裏|0x100000|1000
三角里|0x100000|1000
三角裡|0x100000|1000
三貂里|0x100000|1000
三貂裡|0x100000|1000
三貂裏|0x100000|1000
三重里|0x100000|1000
三重裏|0x100000|1000
三重裡|0x100000|1000
三隆里|0x100000|1000
三隆裏|0x100000|1000
三隆裡|0x100000|1000
三鹿裡|0x100000|1000
三鹿里|0x100000|1000
三鹿裏|0x100000|1000
三龍里|0x100000|1000
三龙里|0x100000|1000
三龍裏|0x100000|1000
三龍裡|0x100000|1000
上坪裏|0x100000|1000
上坪里|0x100000|1000
上坪裡|0x100000|1000
上城裏|0x100000|1000
上城里|0x100000|1000
上城裡|0x100000|1000
上埔里|0x100000|1000
上埔裡|0x100000|1000
上埔裏|0x100000|1000
上大里|0x100000|1000
上大裡|0x100000|1000
上大裏|0x100000|1000
上天里|0x100000|1000
上天裏|0x100000|1000
上天裡|0x100000|1000
上安里|0x100000|1000
上安裏|0x100000|1000
上安裡|0x100000|1000
上寮裡|0x100000|1000
上寮里|0x100000|1000
上寮裏|0x100000|1000
上崙裡|0x100000|1000
上仑里|0x100000|1000
上崙里|0x100000|1000
上崙裏|0x100000|1000
上平裡|0x100000|1000
上平里|0x100000|1000
上平裏|0x100000|1000
上庄裏|0x100000|1000
上庄里|0x100000|1000
上莊裡|0x100000|1000
上莊里|0x100000|1000
上莊裏|0x100000|1000
上庄裡|0x100000|1000
上德裏|0x100000|1000
上德里|0x100000|1000
上德裡|0x100000|1000
上新里|0x100000|1000
上新裡|0x100000|1000
上新裏|0x100000|1000
上林裡|0x100000|1000
上林里|0x100000|1000
上林裏|0x100000|1000
上楓里|0x100000|1000
上枫里|0x100000|1000
上楓裡|0x100000|1000
上楓裏|0x100000|1000
上洲裡|0x100000|1000
上洲里|0x100000|1000
上洲裏|0x100000|1000
上湖裡|0x100000|1000
上湖里|0x100000|1000
上湖裏|0x100000|1000
上溪裡|0x100000|1000
上溪里|0x100000|1000
上溪裏|0x100000|1000
上田裏|0x100000|1000
上田里|0x100000|1000
上田裡|0x100000|1000
上石裏|0x100000|1000
上石里|0x100000|1000
上石裡|0x100000|1000
上竹裡|0x100000|1000
上竹里|0x100000|1000
上竹裏|0x100000|1000
上興裡|0x100000|1000
上兴里|0x100000|1000
上興裏|0x100000|1000
上興里|0x100000|1000
上舘里|0x100000|1000
上馆里|0x100000|1000
上舘裏|0x100000|1000
上舘裡|0x100000|1000
上苗里|0x100000|1000
上苗裏|0x100000|1000
上苗裡|0x100000|1000
上茄苳裡|0x100000|1000
上茄苳里|0x100000|1000
上茄苳裏|0x100000|1000
上華里|0x100000|1000
上华里|0x100000|1000
上華裡|0x100000|1000
上華裏|0x100000|1000
上雅裏|0x100000|1000
上雅里|0x100000|1000
上雅裡|0x100000|1000
下坑里|0x100000|1000
下坑裡|0x100000|1000
下坑裏|0x100000|1000
下坪裡|0x100000|1000
下坪里|0x100000|1000
下坪裏|0x100000|1000
下城裏|0x100000|1000
下埔里|0x100000|1000
下埔裡|0x100000|1000
下埔裏|0x100000|1000
下埤裏|0x100000|1000
下埤里|0x100000|1000
下埤裡|0x100000|1000
下寮裏|0x100000|1000
下寮里|0x100000|1000
下寮裡|0x100000|1000
下廍里|0x100000|1000
下廍裡|0x100000|1000
下廍裏|0x100000|1000
下新裡|0x100000|1000
下新里|0x100000|1000
下新裏|0x100000|1000
下湖裏|0x100000|1000
下湖里|0x100000|1000
下湖裡|0x100000|1000
下湳里|0x100000|1000
下湳裏|0x100000|1000
下湳裡|0x100000|1000
下溪裡|0x100000|1000
下溪里|0x100000|1000
下溪裏|0x100000|1000
下營里|0x100000|1000
下营里|0x100000|1000
下營裡|0x100000|1000
下營裏|0x100000|1000
下田里|0x100000|1000
下田裡|0x100000|1000
下田裏|0x100000|1000
下福裏|0x100000|1000
下福里|0x100000|1000
下福裡|0x100000|1000
下竹裏|0x100000|1000
下竹里|0x100000|1000
下竹裡|0x100000|1000
下罟裡|0x100000|1000
下罟里|0x100000|1000
下罟裏|0x100000|1000
下興裏|0x100000|1000
下兴里|0x100000|1000
下興里|0x100000|1000
下興裡|0x100000|1000
下街裏|0x100000|1000
中信裏|0x100000|1000
中信里|0x100000|1000
中信裡|0x100000|1000
中全裏|0x100000|1000
中全里|0x100000|1000
中全裡|0x100000|1000
中北裡|0x100000|1000
中北里|0x100000|1000
中北裏|0x100000|1000
中南里|0x100000|1000
中南裡|0x100000|1000
中南裏|0x100000|1000
中厝里|0x100000|1000
中厝裏|0x100000|1000
中厝裡|0x100000|1000
中原里|0x100000|1000
中原裡|0x100000|1000
中原裏|0x100000|1000
中吉裡|0x100000|1000
中吉里|0x100000|1000
中吉裏|0x100000|1000
中和裏|0x100000|1000
中和里|0x100000|1000
中和裡|0x100000|1000
中圍裡|0x100000|1000
中围里|0x100000|1000
中圍里|0x100000|1000
中圍裏|0x100000|1000
中圳裏|0x100000|1000
中圳里|0x100000|1000
中圳裡|0x100000|1000
中坑裡|0x100000|1000
中坑里|0x100000|1000
中坑裏|0x100000|1000
中坡里|0x100000|1000
中坡裡|0x100000|1000
中坡裏|0x100000|1000
中城裏|0x100000|1000
中城里|0x100000|1000
中城裡|0x100000|1000
中埔里|0x100000|1000
中埔裏|0x100000|1000
中埔裡|0x100000|1000
中埕里|0x100000|1000
中埕裏|0x100000|1000
中埕裡|0x100000|1000
中堅里|0x100000|1000
中坚里|0x100000|1000
中堅裡|0x100000|1000
中堅裏|0x100000|1000
中壇里|0x100000|1000
中坛里|0x100000|1000
中壇裡|0x100000|1000
中壇裏|0x100000|1000
中壢裏|0x100000|1000
中坜里|0x100000|1000
中壢里|0x100000|1000
中壢裡|0x100000|1000
中天裡|0x100000|1000
中天里|0x100000|1000
中天裏|0x100000|1000
中央裡|0x100000|1000
中央里|0x100000|1000
中央裏|0x100000|1000
中安裡|0x100000|1000
中安里|0x100000|1000
中安裏|0x100000|1000
中宏里|0x100000|1000
中宏裏|0x100000|1000
中宏裡|0x100000|1000
中寧裏|0x100000|1000
中宁里|0x100000|1000
中寧裡|0x100000|1000
中寧里|0x100000|1000
中寮裏|0x100000|1000
中寮里|0x100000|1000
中寮裡|0x100000|1000
中山裡|0x100000|1000
中山里|0x100000|1000
中山裏|0x100000|1000
中崎里|0x100000|1000
中崎裡|0x100000|1000
中崎裏|0x100000|1000
中崙裡|0x100000|1000
中仑里|0x100000|1000
中崙裏|0x100000|1000
中崙里|0x100000|1000
中嵙裡|0x100000|1000
中嵙里|0x100000|1000
中嵙裏|0x100000|1000
中幅里|0x100000|1000
中幅裡|0x100000|1000
中幅裏|0x100000|1000
中平里|0x100000|1000
中平裏|0x100000|1000
中平裡|0x100000|1000
中莊里|0x100000|1000
中庄里|0x100000|1000
中庄裡|0x100000|1000
中莊裡|0x100000|1000
中莊裏|0x100000|1000
中庄裏|0x100000|1000
中庸里|0x100000|1000
中庸裏|0x100000|1000
中庸裡|0x100000|1000
中建裡|0x100000|1000
中建里|0x100000|1000
中建裏|0x100000|1000
中德裏|0x100000|1000
中德里|0x100000|1000
中德裡|0x100000|1000
中心裏|0x100000|1000
中成裡|0x100000|1000
中成里|0x100000|1000
中成裏|0x100000|1000
中政裏|0x100000|1000
中政里|0x100000|1000
中政裡|0x100000|1000
中新里|0x100000|1000
中新裡|0x100000|1000
中新裏|0x100000|1000
中東裏|0x100000|1000
中东里|0x100000|1000
中東里|0x100000|1000
中东裏|0x100000|1000
中东裡|0x100000|1000
中東裡|0x100000|1000
中林里|0x100000|1000
中林裡|0x100000|1000
中林裏|0x100000|1000
中榮裡|0x100000|1000
中荣里|0x100000|1000
中榮裏|0x100000|1000
中榮里|0x100000|1000
中樓里|0x100000|1000
中楼里|0x100000|1000
中樓裏|0x100000|1000
中樓裡|0x100000|1000
中正裡|0x100000|1000
中正里|0x100000|1000
中正裏|0x100000|1000
中民里|0x100000|1000
中民裏|0x100000|1000
中民裡|0x100000|1000
中汕里|0x100000|1000
中汕裡|0x100000|1000
中汕裏|0x100000|1000
中沙裏|0x100000|1000
中沙里|0x100000|1000
中沙裡|0x100000|1000
中泰裡|0x100000|1000
中泰里|0x100000|1000
中泰裏|0x100000|1000
中洲裡|0x100000|1000
中洲里|0x100000|1000
中洲裏|0x100000|1000
中港裡|0x100000|1000
中港里|0x100000|1000
中港裏|0x100000|1000
中湖里|0x100000|1000
中湖裏|0x100000|1000
中湖裡|0x100000|1000
中溪里|0x100000|1000
中溪裏|0x100000|1000
中溪裡|0x100000|1000
中潭裡|0x100000|1000
中潭里|0x100000|1000
中潭裏|0x100000|1000
中濱裡|0x100000|1000
中滨里|0x100000|1000
中濱裏|0x100000|1000
中濱里|0x100000|1000
中營裏|0x100000|1000
中营里|0x100000|1000
中營里|0x100000|1000
中營裡|0x100000|1000
中砂裡|0x100000|1000
中砂里|0x100000|1000
中砂裏|0x100000|1000
中研裏|0x100000|1000
中研里|0x100000|1000
中研裡|0x100000|1000
中社里|0x100000|1000
中社裡|0x100000|1000
中社裏|0x100000|1000
中福裏|0x100000|1000
中福里|0x100000|1000
中福裡|0x100000|1000
中竹裡|0x100000|1000
中竹里|0x100000|1000
中竹裏|0x100000|1000
中美裡|0x100000|1000
中美里|0x100000|1000
中美裏|0x100000|1000
中聖裏|0x100000|1000
中圣里|0x100000|1000
中聖裡|0x100000|1000
中聖里|0x100000|1000
中興里|0x100000|1000
中兴里|0x100000|1000
中興裏|0x100000|1000
中興裡|0x100000|1000
中船里|0x100000|1000
中船裏|0x100000|1000
中船裡|0x100000|1000
中芸裡|0x100000|1000
中芸里|0x100000|1000
中芸裏|0x100000|1000
中苗裡|0x100000|1000
中苗里|0x100000|1000
中苗裏|0x100000|1000
中英里|0x100000|1000
中英裡|0x100000|1000
中英裏|0x100000|1000
中華裡|0x100000|1000
中华里|0x100000|1000
中華裏|0x100000|1000
中華里|0x100000|1000
中行裡|0x100000|1000
中行里|0x100000|1000
中行裏|0x100000|1000
中街里|0x100000|1000
中街裡|0x100000|1000
中街裏|0x100000|1000
中西里|0x100000|1000
中西裡|0x100000|1000
中西裏|0x100000|1000
中誠裡|0x100000|1000
中诚里|0x100000|1000
中誠裏|0x100000|1000
中誠里|0x100000|1000
中賢里|0x100000|1000
中贤里|0x100000|1000
中賢裡|0x100000|1000
中賢裏|0x100000|1000
中路里|0x100000|1000
中路裡|0x100000|1000
中路裏|0x100000|1000
中達裏|0x100000|1000
中达里|0x100000|1000
中達里|0x100000|1000
中達裡|0x100000|1000
中裏裏|0x100000|1000
中里里|0x100000|1000
中裡裡|0x100000|1000
中门里|0x100000|1000
中門里|0x100000|1000
中門裡|0x100000|1000
中門裏|0x100000|1000
中门裡|0x100000|1000
中门裏|0x100000|1000
中陽裡|0x100000|1000
中阳里|0x100000|1000
中陽裏|0x100000|1000
中陽里|0x100000|1000
中隆裏|0x100000|1000
中隆里|0x100000|1000
中隆裡|0x100000|1000
中鶯里|0x100000|1000
中莺里|0x100000|1000
中鶯裡|0x100000|1000
中鶯裏|0x100000|1000
中龍里|0x100000|1000
中龙里|0x100000|1000
中龍裏|0x100000|1000
中龍裡|0x100000|1000
丹鳳裡|0x100000|1000
丹凤里|0x100000|1000
丹鳳里|0x100000|1000
丹鳳裏|0x100000|1000
主信里|0x100000|1000
主信裏|0x100000|1000
主信裡|0x100000|1000
主力里|0x100000|1000
主力裡|0x100000|1000
主力裏|0x100000|1000
主勤裡|0x100000|1000
主勤里|0x100000|1000
主勤裏|0x100000|1000
主和裡|0x100000|1000
主和里|0x100000|1000
主和裏|0x100000|1000
主商里|0x100000|1000
主商裏|0x100000|1000
主商裡|0x100000|1000
主學裡|0x100000|1000
主学里|0x100000|1000
主學里|0x100000|1000
主學裏|0x100000|1000
主安裡|0x100000|1000
主安里|0x100000|1000
主安裏|0x100000|1000
主工裏|0x100000|1000
主工里|0x100000|1000
主工裡|0x100000|1000
主權里|0x100000|1000
主权里|0x100000|1000
主權裡|0x100000|1000
主權裏|0x100000|1000
主睦裡|0x100000|1000
主睦里|0x100000|1000
主睦裏|0x100000|1000
主義裏|0x100000|1000
主义里|0x100000|1000
主义裏|0x100000|1000
主义裡|0x100000|1000
主義里|0x100000|1000
主義裡|0x100000|1000
主計裏|0x100000|1000
主计里|0x100000|1000
主計里|0x100000|1000
主計裡|0x100000|1000
主農裏|0x100000|1000
主农里|0x100000|1000
主農里|0x100000|1000
主農裡|0x100000|1000
久堂裡|0x100000|1000
久堂里|0x100000|1000
久堂裏|0x100000|1000
久安裡|0x100000|1000
久安里|0x100000|1000
久安裏|0x100000|1000
久昌裏|0x100000|1000
久昌里|0x100000|1000
久昌裡|0x100000|1000
九塊里|0x100000|1000
九块里|0x100000|1000
九塊裡|0x100000|1000
九塊裏|0x100000|1000
九如裡|0x100000|1000
九如里|0x100000|1000
九如裏|0x100000|1000
九德里|0x100000|1000
九德裏|0x100000|1000
九德裡|0x100000|1000
九房裡|0x100000|1000
九房里|0x100000|1000
九房裏|0x100000|1000
九斗裡|0x100000|1000
九斗里|0x100000|1000
九斗裏|0x100000|1000
九曲裡|0x100000|1000
九曲里|0x100000|1000
九曲裏|0x100000|1000
九芎裡|0x100000|1000
九芎里|0x100000|1000
九芎裏|0x100000|1000
九隆裏|0x100000|1000
九隆里|0x100000|1000
九隆裡|0x100000|1000
九龍里|0x100000|1000
九龙里|0x100000|1000
九龍裏|0x100000|1000
九龍裡|0x100000|1000
乾華裡|0x100000|1000
干华里|0x100000|1000
乾華裏|0x100000|1000
乾華里|0x100000|1000
二和裏|0x100000|1000
二和里|0x100000|1000
二和裡|0x100000|1000
二城裏|0x100000|1000
二城里|0x100000|1000
二城裡|0x100000|1000
二寮裡|0x100000|1000
二寮里|0x100000|1000
二寮裏|0x100000|1000
二橋裏|0x100000|1000
二桥里|0x100000|1000
二橋里|0x100000|1000
二橋裡|0x100000|1000
二溪里|0x100000|1000
二溪裡|0x100000|1000
二溪裏|0x100000|1000
二王裏|0x100000|1000
二王里|0x100000|1000
二王裡|0x100000|1000
二甲裏|0x100000|1000
二甲里|0x100000|1000
二甲裡|0x100000|1000
二苓裏|0x100000|1000
二苓里|0x100000|1000
二苓裡|0x100000|1000
二行裏|0x100000|1000
二行里|0x100000|1000
二行裡|0x100000|1000
二重里|0x100000|1000
二重裡|0x100000|1000
二重裏|0x100000|1000
二镇裡|0x100000|1000
二镇里|0x100000|1000
二鎮裡|0x100000|1000
二鎮里|0x100000|1000
二鎮裏|0x100000|1000
二镇裏|0x100000|1000
二鬮裡|0x100000|1000
二阄里|0x100000|1000
二鬮裏|0x100000|1000
二鬮里|0x100000|1000
五光裡|0x100000|1000
五光里|0x100000|1000
五光裏|0x100000|1000
五全裏|0x100000|1000
五全里|0x100000|1000
五全裡|0x100000|1000
五分里|0x100000|1000
五分裏|0x100000|1000
五分裡|0x100000|1000
五北裏|0x100000|1000
五北里|0x100000|1000
五北裡|0x100000|1000
五南裏|0x100000|1000
五南里|0x100000|1000
五南裡|0x100000|1000
五和裡|0x100000|1000
五和里|0x100000|1000
五和裏|0x100000|1000
五埔裡|0x100000|1000
五埔里|0x100000|1000
五埔裏|0x100000|1000
五寮裡|0x100000|1000
五寮里|0x100000|1000
五寮裏|0x100000|1000
五峯里|0x100000|1000
五峯裡|0x100000|1000
五峯裏|0x100000|1000
五常里|0x100000|1000
五常裏|0x100000|1000
五常裡|0x100000|1000
五德里|0x100000|1000
五德裡|0x100000|1000
五德裏|0x100000|1000
五條港里|0x100000|1000
五条港里|0x100000|1000
五條港裡|0x100000|1000
五條港裏|0x100000|1000
五權里|0x100000|1000
五权里|0x100000|1000
五權裡|0x100000|1000
五權裏|0x100000|1000
五湖裏|0x100000|1000
五湖里|0x100000|1000
五湖裡|0x100000|1000
五王裏|0x100000|1000
五王里|0x100000|1000
五王裡|0x100000|1000
五甲裡|0x100000|1000
五甲里|0x100000|1000
五甲裏|0x100000|1000
五福裏|0x100000|1000
五福里|0x100000|1000
五福裡|0x100000|1000
五股裏|0x100000|1000
五股里|0x100000|1000
五股裡|0x100000|1000
五興裡|0x100000|1000
五兴里|0x100000|1000
五興里|0x100000|1000
五興裏|0x100000|1000
五華里|0x100000|1000
五华里|0x100000|1000
五華裏|0x100000|1000
五華裡|0x100000|1000
五谷里|0x100000|1000
五谷裡|0x100000|1000
五谷裏|0x100000|1000
五豐裡|0x100000|1000
五丰里|0x100000|1000
五豐里|0x100000|1000
五豐裏|0x100000|1000
五順裡|0x100000|1000
五顺里|0x100000|1000
五順裏|0x100000|1000
五順里|0x100000|1000
五魁里|0x100000|1000
五魁裏|0x100000|1000
五魁裡|0x100000|1000
五龍裡|0x100000|1000
五龙里|0x100000|1000
五龍裏|0x100000|1000
五龍里|0x100000|1000
井垵裡|0x100000|1000
井埯里|0x100000|1000
井垵裏|0x100000|1000
井垵里|0x100000|1000
井东裏|0x100000|1000
井东里|0x100000|1000
井东裡|0x100000|1000
井東里|0x100000|1000
井東裡|0x100000|1000
井東裏|0x100000|1000
井腳裏|0x100000|1000
井脚里|0x100000|1000
井腳裡|0x100000|1000
井腳里|0x100000|1000
享平里|0x100000|1000
享平裡|0x100000|1000
享平裏|0x100000|1000
人和裡|0x100000|1000
人和里|0x100000|1000
人和裏|0x100000|1000
什乃裏|0x100000|1000
什乃里|0x100000|1000
什乃裡|0x100000|1000
仁勇裏|0x100000|1000
仁勇里|0x100000|1000
仁勇裡|0x100000|1000
仁化里|0x100000|1000
仁化裡|0x100000|1000
仁化裏|0x100000|1000
仁和裡|0x100000|1000
仁和里|0x100000|1000
仁和裏|0x100000|1000
仁善裡|0x100000|1000
仁善里|0x100000|1000
仁善裏|0x100000|1000
仁壽裏|0x100000|1000
仁寿里|0x100000|1000
仁壽里|0x100000|1000
仁壽裡|0x100000|1000
仁安里|0x100000|1000
仁安裡|0x100000|1000
仁安裏|0x100000|1000
仁得裏|0x100000|1000
仁得里|0x100000|1000
仁得裡|0x100000|1000
仁復裏|0x100000|1000
仁复里|0x100000|1000
仁復裡|0x100000|1000
仁復里|0x100000|1000
仁德里|0x100000|1000
仁德裏|0x100000|1000
仁德裡|0x100000|1000
仁忠裡|0x100000|1000
仁忠里|0x100000|1000
仁忠裏|0x100000|1000
仁愛裡|0x100000|1000
仁爱里|0x100000|1000
仁愛裏|0x100000|1000
仁愛里|0x100000|1000
仁慈里|0x100000|1000
仁慈裏|0x100000|1000
仁慈裡|0x100000|1000
仁政里|0x100000|1000
仁政裡|0x100000|1000
仁政裏|0x100000|1000
仁文裡|0x100000|1000
仁文里|0x100000|1000
仁文裏|0x100000|1000
仁昌裏|0x100000|1000
仁昌里|0x100000|1000
仁昌裡|0x100000|1000
仁正裡|0x100000|1000
仁正里|0x100000|1000
仁正裏|0x100000|1000
仁武里|0x100000|1000
仁武裡|0x100000|1000
仁武裏|0x100000|1000
仁祥裡|0x100000|1000
仁祥里|0x100000|1000
仁祥裏|0x100000|1000
仁福裡|0x100000|1000
仁福里|0x100000|1000
仁福裏|0x100000|1000
仁美裏|0x100000|1000
仁美里|0x100000|1000
仁美裡|0x100000|1000
仁義里|0x100000|1000
仁义里|0x100000|1000
仁義裏|0x100000|1000
仁义裏|0x100000|1000
仁义裡|0x100000|1000
仁義裡|0x100000|1000
仁翠裏|0x100000|1000
仁翠里|0x100000|1000
仁翠裡|0x100000|1000
仁聲里|0x100000|1000
仁声里|0x100000|1000
仁聲裡|0x100000|1000
仁聲裏|0x100000|1000
仁華裡|0x100000|1000
仁华里|0x100000|1000
仁華裏|0x100000|1000
仁華里|0x100000|1000
仁里里|0x100000|1000
仁裡裡|0x100000|1000
仁裏裏|0x100000|1000
介壽里|0x100000|1000
介寿里|0x100000|1000
介壽裏|0x100000|1000
介壽裡|0x100000|1000
仕和裏|0x100000|1000
仕和里|0x100000|1000
仕和裡|0x100000|1000
仕豐裡|0x100000|1000
仕丰里|0x100000|1000
仕豐裏|0x100000|1000
仕豐里|0x100000|1000
仕隆裡|0x100000|1000
仕隆里|0x100000|1000
仕隆裏|0x100000|1000
仙宮里|0x100000|1000
仙宫里|0x100000|1000
仙宮裏|0x100000|1000
仙宮裡|0x100000|1000
仙水裡|0x100000|1000
仙水里|0x100000|1000
仙水裏|0x100000|1000
仙洞裡|0x100000|1000
仙洞里|0x100000|1000
仙洞裏|0x100000|1000
仙草裡|0x100000|1000
仙草里|0x100000|1000
仙草裏|0x100000|1000
佃東裡|0x100000|1000
佃东里|0x100000|1000
佃東裏|0x100000|1000
佃东裏|0x100000|1000
佃东裡|0x100000|1000
佃東里|0x100000|1000
佃西裡|0x100000|1000
佃西里|0x100000|1000
佃西裏|0x100000|1000
住安里|0x100000|1000
住安裏|0x100000|1000
住安裡|0x100000|1000
何仁里|0x100000|1000
何仁裏|0x100000|1000
何仁裡|0x100000|1000
何南裡|0x100000|1000
何南里|0x100000|1000
何南裏|0x100000|1000
何厝里|0x100000|1000
何厝裡|0x100000|1000
何厝裏|0x100000|1000
何安裏|0x100000|1000
何安里|0x100000|1000
何安裡|0x100000|1000
何德裡|0x100000|1000
何德里|0x100000|1000
何德裏|0x100000|1000
何成里|0x100000|1000
何成裏|0x100000|1000
何成裡|0x100000|1000
何斗裡|0x100000|1000
何斗里|0x100000|1000
何斗裏|0x100000|1000
何明里|0x100000|1000
何明裏|0x100000|1000
何明裡|0x100000|1000
何源里|0x100000|1000
何源裡|0x100000|1000
何源裏|0x100000|1000
何福里|0x100000|1000
何福裡|0x100000|1000
何福裏|0x100000|1000
佛壇裏|0x100000|1000
佛坛里|0x100000|1000
佛壇里|0x100000|1000
佛壇裡|0x100000|1000
佳化裡|0x100000|1000
佳化里|0x100000|1000
佳化裏|0x100000|1000
佳和里|0x100000|1000
佳和裏|0x100000|1000
佳和裡|0x100000|1000
佳安里|0x100000|1000
佳安裡|0x100000|1000
佳安裏|0x100000|1000
佳禾里|0x100000|1000
佳禾裡|0x100000|1000
佳禾裏|0x100000|1000
佳興裏|0x100000|1000
佳兴里|0x100000|1000
佳興裡|0x100000|1000
佳興里|0x100000|1000
侯伯裡|0x100000|1000
侯伯里|0x100000|1000
侯伯裏|0x100000|1000
保佑裡|0x100000|1000
保佑里|0x100000|1000
保佑裏|0x100000|1000
保吉裡|0x100000|1000
保吉里|0x100000|1000
保吉裏|0x100000|1000
保和裏|0x100000|1000
保和里|0x100000|1000
保和裡|0x100000|1000
保安里|0x100000|1000
保安裡|0x100000|1000
保安裏|0x100000|1000
保定里|0x100000|1000
保定裏|0x100000|1000
保定裡|0x100000|1000
保寧里|0x100000|1000
保宁里|0x100000|1000
保寧裡|0x100000|1000
保寧裏|0x100000|1000
保平裏|0x100000|1000
保平里|0x100000|1000
保平裡|0x100000|1000
保庄里|0x100000|1000
保庄裡|0x100000|1000
保莊裡|0x100000|1000
保莊里|0x100000|1000
保庄裏|0x100000|1000
保莊裏|0x100000|1000
保德裏|0x100000|1000
保德里|0x100000|1000
保德裡|0x100000|1000
保新里|0x100000|1000
保新裡|0x100000|1000
保新裏|0x100000|1000
保生裏|0x100000|1000
保生里|0x100000|1000
保生裡|0x100000|1000
保社里|0x100000|1000
保社裏|0x100000|1000
保社裡|0x100000|1000
保長里|0x100000|1000
保长里|0x100000|1000
保長裏|0x100000|1000
保長裡|0x100000|1000
保障裡|0x100000|1000
保障里|0x100000|1000
保障裏|0x100000|1000
保順里|0x100000|1000
保顺里|0x100000|1000
保順裏|0x100000|1000
保順裡|0x100000|1000
信光里|0x100000|1000
