// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
星詠|0x100000|17
星咏|0x100000|17
是乾|0x100000|39
是干|0x100000|39
是佔|0x100000|8
是占|0x100000|8
是併|0x100000|24
是并|0x100000|24
是並|0x100000|24
是劃|0x100000|69
是划|0x100000|69
是塗|0x100000|24
是凃|0x100000|24
是幾|0x100000|22
是几|0x100000|22
是彙|0x100000|8
是汇|0x100000|8
是匯|0x100000|8
是恆|0x100000|8
是恒|0x100000|8
是採|0x100000|365
是采|0x100000|365
是於|0x100000|65
是于|0x100000|65
是曬|0x100000|5
是晒|0x100000|5
是殼|0x100000|5
是壳|0x100000|5
是殻|0x100000|5
是沖|0x100000|9
是冲|0x100000|9
是衝|0x100000|9
是準|0x100000|10
是准|0x100000|10
是臺|0x100000|23
是台|0x100000|23
是製|0x100000|76
是制|0x100000|76
是複|0x100000|10
是复|0x100000|10
是復|0x100000|10
是里|0x100000|97
是裡|0x100000|97
是錶|0x100000|12
是表|0x100000|12
是隻|0x100000|5
是只|0x100000|5
是雲|0x100000|11
是云|0x100000|11
是鬆|0x100000|10
是松|0x100000|10
是鹹|0x100000|39
是咸|0x100000|39
是麵|0x100000|5
是面|0x100000|5
時併|0x100000|7
时并|0x100000|7
時並|0x100000|7
時採|0x100000|9
时采|0x100000|9
時采|0x100000|9
時於|0x100000|268
时于|0x100000|268
時于|0x100000|268
時註|0x100000|22
时注|0x100000|22
時注|0x100000|22
晚於|0x100000|32
晚于|0x100000|32
晾曬|0x1000|358
晾晒|0x1000|358
暮雲|0x100000|9
暮云|0x100000|9
暴曬|0x1000|44
暴晒|0x1000|44
曆天|0x100000|5
历天|0x100000|5
歷天|0x100000|5
曆日|0x100000|16
历日|0x100000|16
歷日|0x100000|16
曆書|0x100000|8
历书|0x100000|8
歷書|0x100000|8
曆月|0x80|6
历月|0x80|6
歷月|0x80|6
曆法|0x100000|23
历法|0x100000|23
歷法|0x100000|23
曝曬|0x1000|548
曝晒|0x1000|548
曬久|0x100000|13
晒久|0x100000|13
曬乳|0x100000|276
晒乳|0x100000|276
曬乾|0x101000|169
晒干|0x101000|169
晒乾|0x101000|169
曬了|0x100000|56
晒了|0x100000|56
曬個|0x100000|5
晒个|0x100000|5
晒個|0x100000|5
曬傷|0x1000|269
晒伤|0x1000|269
晒傷|0x1000|269
曬出|0x100000|10
晒出|0x100000|10
曬到|0x100000|200
晒到|0x100000|200
曬化|0x100000|5
晒化|0x100000|5
曬圖|0x1000|21
晒图|0x1000|21
晒圖|0x1000|21
曬在|0x100000|66
晒在|0x100000|66
曬壞|0x100000|6
晒坏|0x100000|6
晒壞|0x100000|6
曬太|0x100000|110
晒太|0x100000|110
曬太陽|0x1000|554
晒太阳|0x1000|554
晒太陽|0x1000|554
曬好|0x100000|5
晒好|0x100000|5
曬完|0x100000|13
晒完|0x100000|13
曬帽|0x100000|67
晒帽|0x100000|67
曬後|0x100000|45
